380,82,1985,8.29,SlateBlue,Maple,Mahogany,Maple,maple,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,False
50,67,1999,5.6,HotPink,Maple,Maple,Rosewood,walnut,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,False
477,58,1988,8.91,PaleTurquoise,Korina,Koa,Ebony,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
179,110,1991,11.51,DarkGreen,Japanese Ash,Wenge,Ebony,walnut,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,True
524,96,1961,9.71,Blue,Japanese Ash,Rosewood,Rosewood,maple,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,True
388,114,1981,10.29,Snow,Swamp Ash,Rosewood,Ebony,maple,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
18,93,1989,5.42,Azure,Swamp Ash,Rosewood,Ebony,walnut,Fender Vintage,Fender Vintage,Fender Vintage,False
366,109,1957,9.78,Linen,Mahogany,Mahogany,Rosewood,maple,490R & 490T,490R & 490T,490R & 490T,False
212,6,1994,10.56,DimGray,Korina,Rosewood,Ebony,walnut,490R & 490T,490R & 490T,490R & 490T,True
76,50,1995,10.88,MediumSpringGreen,Japanese Ash,Maple,Ebony,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,False
358,73,1968,7.02,BlueViolet,Maple,Wenge,Maple,maple,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,False
856,83,1973,6.79,FireBrick,Korina,Wenge,Maple,maple,Burstbucker,Burstbucker,Burstbucker,True
618,51,1981,12.35,Chocolate,Basswood,Maple,Ebony,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
675,93,1969,9.93,MediumVioletRed,Swamp Ash,Mahogany,Ebony,maple,490R & 490T,490R & 490T,490R & 490T,False
474,77,1948,9.82,MintCream,Alder,Wenge,Rosewood,walnut,EMG 85 Active,EMG 85 Active,EMG 85 Active,True
506,114,1970,8.08,DarkOrange,Alder,Wenge,Rosewood,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
383,11,1987,7.47,PapayaWhip,Walnut,Rosewood,Ebony,walnut,Fender Vintage,Fender Vintage,Fender Vintage,False
214,54,1974,7.86,BlanchedAlmond,Japanese Ash,Mahogany,Rosewood,walnut,496 & 500T,496 & 500T,496 & 500T,False
595,50,1952,9.38,OldLace,Maple,Rosewood,Maple,walnut,Burstbucker,Burstbucker,Burstbucker,False
408,120,1991,6.38,MediumAquaMarine,Basswood,Wenge,Maple,maple,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,True
285,70,1964,9.59,Pink,Maple,Wenge,Maple,maple,490R & 490T,490R & 490T,490R & 490T,True
916,62,1978,7.78,SkyBlue,Basswood,Mahogany,Rosewood,walnut,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,True
810,95,1983,12.2,Gold,Basswood,Wenge,Ebony,walnut,Fender Vintage,Fender Vintage,Fender Vintage,True
84,23,1974,9.11,OliveDrab,Walnut,Rosewood,Ebony,walnut,490R & 490T,490R & 490T,490R & 490T,True
386,100,1995,8.1,OrangeRed,Japanese Ash,Wenge,Rosewood,walnut,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
442,61,1999,5.24,PaleTurquoise,Swamp Ash,Mahogany,Rosewood,maple,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,True
349,85,1985,5.45,Red,Walnut,Rosewood,Maple,maple,496 & 500T,496 & 500T,496 & 500T,True
423,40,1992,10.72,DarkSlateBlue,Mahogany,Rosewood,Ebony,maple,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
125,34,1999,5.03,LightSlateGray,Maple,Maple,Rosewood,walnut,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,True
908,88,1957,6.6,Blue,Korina,Wenge,Maple,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,True
350,23,1974,6.27,MediumSlateBlue,Japanese Ash,Rosewood,Rosewood,walnut,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
734,58,1955,12.48,PaleGreen,Swamp Ash,Koa,Maple,walnut,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,False
195,113,1964,8.21,ForestGreen,Mahogany,Koa,Maple,maple,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,False
630,36,1979,5.01,LightSalmon,Alder,Koa,Rosewood,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
807,2,1983,8.1,Cyan,Swamp Ash,Mahogany,Maple,maple,Burstbucker,Burstbucker,Burstbucker,True
159,6,1999,11.72,Pink,Japanese Ash,Rosewood,Rosewood,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
957,97,1947,5.4,PeachPuff,Japanese Ash,Wenge,Ebony,maple,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
171,19,1962,10.97,MediumOrchid,Maple,Maple,Rosewood,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
790,112,1995,9.04,DodgerBlue,Mahogany,Wenge,Ebony,walnut,Fender Vintage,Fender Vintage,Fender Vintage,False
500,27,1967,5.86,SaddleBrown,Alder,Koa,Rosewood,walnut,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,True
849,42,1977,6.63,Lime,Maple,Rosewood,Maple,maple,Burstbucker,Burstbucker,Burstbucker,False
767,64,1960,8.72,LightBlue,Mahogany,Rosewood,Rosewood,walnut,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,False
443,33,1992,6.2,BurlyWood,Alder,Rosewood,Maple,maple,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,True
646,25,1967,9.06,CornflowerBlue,Basswood,Wenge,Rosewood,maple,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,False
847,104,1974,10.33,DeepPink,Japanese Ash,Wenge,Rosewood,walnut,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
353,84,1998,10.11,SlateBlue,Basswood,Mahogany,Maple,maple,Fender Vintage,Fender Vintage,Fender Vintage,True
10,40,1977,9.85,Bisque,Alder,Maple,Rosewood,maple,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
706,15,1998,5.64,Linen,Mahogany,Rosewood,Ebony,walnut,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,True
593,75,1978,5.69,Tomato,Walnut,Maple,Rosewood,walnut,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
43,14,1956,5.29,Purple,Korina,Wenge,Rosewood,maple,490R & 490T,490R & 490T,490R & 490T,True
819,80,1995,6.52,LightSalmon,Walnut,Rosewood,Ebony,maple,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,False
812,81,1964,5.78,Linen,Japanese Ash,Wenge,Maple,walnut,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,False
140,40,1982,6.93,Violet,Alder,Wenge,Maple,walnut,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
2,119,1999,9.69,DodgerBlue,Korina,Maple,Ebony,maple,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,False
444,97,1973,7.28,LightSalmon,Maple,Wenge,Maple,walnut,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
396,94,1964,6.72,Magenta,Swamp Ash,Wenge,Ebony,walnut,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,True
173,11,1960,7.63,LightBlue,Japanese Ash,Rosewood,Ebony,walnut,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,False
357,54,1962,6.42,MediumBlue,Maple,Maple,Rosewood,maple,496 & 500T,496 & 500T,496 & 500T,True
72,107,1965,8.43,LawnGreen,Japanese Ash,Rosewood,Ebony,walnut,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,True
785,62,1974,10.83,LightSalmon,Swamp Ash,Rosewood,Rosewood,walnut,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,False
813,30,1993,11.43,DarkOrchid,Swamp Ash,Mahogany,Ebony,walnut,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,True
334,30,1977,9.79,Beige,Swamp Ash,Mahogany,Maple,maple,Dirty Fingers,Dirty Fingers,Dirty Fingers,False
480,48,1984,10.34,Sienna,Swamp Ash,Rosewood,Rosewood,maple,490R & 490T,490R & 490T,490R & 490T,True
503,50,1995,8.13,Sienna,Walnut,Koa,Rosewood,walnut,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,True
762,45,1992,8.79,White,Korina,Wenge,Maple,walnut,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,False
281,14,1977,11.67,Blue,Basswood,Koa,Rosewood,walnut,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,False
421,24,1958,6.06,LightBlue,Mahogany,Maple,Maple,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,True
840,115,1955,8.46,DarkOliveGreen,Swamp Ash,Rosewood,Maple,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
202,113,1993,12.14,PowderBlue,Swamp Ash,Wenge,Maple,maple,'57 Classic,'57 Classic,'57 Classic,False
174,52,1951,11.11,ForestGreen,Alder,Rosewood,Ebony,maple,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,False
129,57,1945,5.81,CornflowerBlue,Alder,Wenge,Rosewood,maple,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,False
539,108,1965,12.16,DarkGreen,Mahogany,Mahogany,Ebony,walnut,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,True
598,106,1968,5.36,MistyRose,Mahogany,Wenge,Ebony,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
964,42,1978,6.09,PeachPuff,Swamp Ash,Mahogany,Ebony,maple,490R & 490T,490R & 490T,490R & 490T,False
189,6,1994,5.54,Coral,Basswood,Rosewood,Ebony,walnut,Burstbucker,Burstbucker,Burstbucker,False
297,120,1948,5.34,PaleVioletRed,Walnut,Wenge,Ebony,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
231,41,1984,7.79,Snow,Maple,Maple,Ebony,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
153,38,1951,9.12,Lavender,Swamp Ash,Wenge,Rosewood,walnut,Dirty Fingers,Dirty Fingers,Dirty Fingers,False
315,100,1951,8.54,MistyRose,Basswood,Mahogany,Ebony,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
121,76,1977,7.06,MediumSlateBlue,Mahogany,Mahogany,Maple,walnut,490R & 490T,490R & 490T,490R & 490T,False
725,71,1950,7.74,DeepPink,Swamp Ash,Koa,Ebony,maple,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,False
75,28,1961,7.5,RoyalBlue,Japanese Ash,Rosewood,Maple,maple,'57 Classic,'57 Classic,'57 Classic,True
103,34,1962,12.04,DimGray,Korina,Rosewood,Rosewood,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
305,1,1963,11.49,DarkSlateBlue,Maple,Rosewood,Rosewood,maple,496 & 500T,496 & 500T,496 & 500T,True
495,46,1966,7.65,Silver,Alder,Wenge,Rosewood,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,True
667,30,1963,8.6,Azure,Maple,Rosewood,Rosewood,maple,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,True
805,43,1989,10.53,PaleTurquoise,Mahogany,Rosewood,Maple,walnut,496 & 500T,496 & 500T,496 & 500T,False
517,62,1991,5.65,MediumSlateBlue,Korina,Koa,Rosewood,walnut,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,True
682,73,1965,9.17,SeaGreen,Walnut,Rosewood,Maple,walnut,'57 Classic,'57 Classic,'57 Classic,False
446,35,1996,7.89,LightGreen,Korina,Koa,Ebony,walnut,'57 Classic,'57 Classic,'57 Classic,False
508,15,1945,9.86,Turquoise,Walnut,Rosewood,Ebony,walnut,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
873,64,1993,8.86,Lavender,Swamp Ash,Mahogany,Ebony,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
514,29,1950,6.87,Blue,Basswood,Wenge,Maple,maple,490R & 490T,490R & 490T,490R & 490T,False
187,57,1962,11.72,Moccasin,Korina,Maple,Maple,maple,EMG 85 Active,EMG 85 Active,EMG 85 Active,True
757,87,1986,12.27,DodgerBlue,Korina,Rosewood,Ebony,walnut,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
230,112,1949,11.99,SeaGreen,Alder,Wenge,Maple,maple,Fender Vintage,Fender Vintage,Fender Vintage,True
883,6,1958,9,LightBlue,Maple,Wenge,Ebony,walnut,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,False
791,80,1997,10.38,DarkGreen,Alder,Wenge,Maple,walnut,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
995,35,1950,11.37,LavenderBlush,Swamp Ash,Mahogany,Rosewood,maple,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,False
721,58,1993,7.09,LightGoldenRodYellow,Maple,Mahogany,Ebony,walnut,490R & 490T,490R & 490T,490R & 490T,True
430,105,1978,12.08,Navy,Walnut,Wenge,Ebony,maple,496 & 500T,496 & 500T,496 & 500T,False
38,40,1975,11.21,PaleTurquoise,Mahogany,Rosewood,Ebony,maple,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
313,46,1959,10.44,DodgerBlue,Alder,Wenge,Maple,walnut,Fender Vintage,Fender Vintage,Fender Vintage,False
490,122,1995,11.65,MidnightBlue,Walnut,Maple,Ebony,walnut,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,False
457,46,1979,10.26,MintCream,Mahogany,Mahogany,Maple,maple,Burstbucker,Burstbucker,Burstbucker,True
803,15,1980,9.21,DarkSeaGreen,Basswood,Wenge,Ebony,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
271,7,1972,9.03,MediumSlateBlue,Swamp Ash,Maple,Ebony,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
461,94,1962,11.62,Green,Mahogany,Rosewood,Maple,walnut,'57 Classic,'57 Classic,'57 Classic,True
488,83,1952,7.99,DarkCyan,Mahogany,Wenge,Ebony,walnut,Fender Vintage,Fender Vintage,Fender Vintage,True
269,71,1989,10.08,Gold,Basswood,Koa,Maple,maple,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
373,107,1948,10.16,HoneyDew,Swamp Ash,Mahogany,Ebony,walnut,490R & 490T,490R & 490T,490R & 490T,True
368,123,1972,11.22,Chartreuse,Basswood,Mahogany,Ebony,walnut,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,True
761,72,1951,8.29,OrangeRed,Korina,Koa,Ebony,maple,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,True
203,125,1983,8.9,Lavender,Alder,Koa,Maple,maple,Burstbucker,Burstbucker,Burstbucker,True
15,108,1985,7.91,LightSeaGreen,Japanese Ash,Koa,Ebony,maple,Fender Vintage,Fender Vintage,Fender Vintage,False
852,63,1966,5.21,Yellow,Maple,Rosewood,Rosewood,walnut,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,False
581,123,1979,11.54,MediumAquaMarine,Korina,Wenge,Rosewood,walnut,Fender Vintage,Fender Vintage,Fender Vintage,False
752,9,1945,12.47,DarkSalmon,Basswood,Wenge,Rosewood,walnut,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,False
54,23,1992,6.74,MidnightBlue,Basswood,Maple,Maple,walnut,'57 Classic,'57 Classic,'57 Classic,True
868,31,1964,8.02,WhiteSmoke,Mahogany,Mahogany,Ebony,walnut,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
126,13,1952,6.43,MediumOrchid,Maple,Rosewood,Maple,walnut,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
930,65,1946,6.21,Coral,Swamp Ash,Rosewood,Ebony,maple,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,True
718,33,1991,7.87,MintCream,Basswood,Rosewood,Rosewood,walnut,Fender Vintage,Fender Vintage,Fender Vintage,False
321,53,1980,9.96,Aquamarine,Mahogany,Mahogany,Maple,maple,Fender Vintage,Fender Vintage,Fender Vintage,False
765,66,1984,8.08,Ivory,Basswood,Maple,Ebony,maple,Fender Vintage,Fender Vintage,Fender Vintage,True
163,76,1993,11.48,DarkSalmon,Basswood,Mahogany,Rosewood,walnut,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,True
45,94,1974,6.9,OliveDrab,Japanese Ash,Wenge,Rosewood,walnut,496 & 500T,496 & 500T,496 & 500T,False
346,15,1999,5.02,Fuchsia,Alder,Mahogany,Rosewood,maple,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,False
312,68,1962,11.25,Purple,Korina,Mahogany,Rosewood,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
111,32,1957,7.73,DarkRed,Japanese Ash,Wenge,Rosewood,maple,Burstbucker,Burstbucker,Burstbucker,True
331,89,1999,12.05,RoyalBlue,Walnut,Wenge,Maple,walnut,496 & 500T,496 & 500T,496 & 500T,False
80,111,1958,6.59,LightCoral,Mahogany,Maple,Maple,walnut,490R & 490T,490R & 490T,490R & 490T,False
801,4,1946,10.61,MediumSlateBlue,Alder,Rosewood,Ebony,walnut,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,False
327,21,1961,7.27,GhostWhite,Maple,Rosewood,Ebony,maple,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,True
631,55,1991,10.45,SandyBrown,Swamp Ash,Mahogany,Ebony,walnut,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
